à mon avis,to my mind
à mon avis,to my way of thinking
à plus tard – remettre à plus tard,to postpone
absent – être absent,to be absent
absent – être absent,to be away
absente – être absente,to be absent
absente – être absente,to be away
absenter – s'absenter,to go out
absenter – s'absenter,to be absent
abstenir – s'abstenir (de),to refrain
accepter,to accept
accompagner,to accompany
accomplir,to accomplish
accorder (à),to grant
accueillir,to welcome
achever,to complete
achever,to finish
acquérir,to acquire
additionner,to add
adresser (à),to address
affaire – faire l'affaire,to suit
affecter,to assign
affirmer,to assert
agrandir,to enlarge
aimer,to love
aimer (bien),to like
aimer mieux,to prefer
aimer mieux,to like better
air – avoir l'air de,to look like
aller - pour aller à,to get to
aller – s'en aller,to go
aller – s'en aller,to leave
aller (à),to go
aller (à),to pass
aller à l’encontre (de),to go against
aller chercher,to go and look for
aller chercher,to go and get
allouer (à),to allocate (to)
amélorer,to improve
amener,to bring
amener,to take
analyser,to analyse
annoncer,to announce
annuler,to cancel
appartenir à,to belong to
appeler,to call
appeler – s'appeler,to be called
application - mettre en application,to apply
appliquer – s'appliquer (à),to apply to
apporter (à),to bring
apprendre,to learn
approuver,to approve
appuyer,to press
apte – être apte (à),to be capable of
aptitude – avoir de l'aptitude,to have the ability
aptitude – avoir de l'aptitude,to have the aptitude
arrêter,to stop
arriver,to happen
arriver,to come to
arriver (de),to arrive from
arriver à,to succeed in
arriver pile,to arrive right on time
arriver pile,to arrive on the dot
attendre,to wait
attendre – s'attendre à (ce que),to expect (that)
atterrir,to land
augmenter,to increase
auquel,to which
autoriser (à),to give permission for
autoriser (à),to authorize
auxquelles,to which
auxquels,to which
avance - prendre de l'avance,to get ahead
avance - prendre de l'avance,to get a head start
avancer,to move forward
avancer,to make earlier
avant - mettre de l'avant,to promote
averti – être averti (de),to be warned of
averti – être averti (de),to be informed of
averti – être averti que,to be warned that
averti – être averti que,to be informed that
avertie – être avertie (de),to be warned of
avertie – être avertie (de),to be informed of
avertie – être avertie que,to be warned that
avertie – être avertie que,to be informed that
avis – à mon avis,to my mind
avis – à mon avis,to my way of thinking
avoir,to get
avoir,to have
avoir – y avoir moyen de,to be a way of
avoir – y avoir moyen que,to be a way that
avoir à,to have to
avoir besoin de,to need
avoir besoin que,to need
avoir de l’aptitude,to have the ability
avoir de l’aptitude,to have the aptitude
avoir droit à (+ nom),to be entitled to
avoir du talent,to have talent
avoir l’air (de),to look like
avoir l’impression de,to have the impression of
avoir l’impression que,to have the impression that
avoir l’intention de,to have the intention of
avoir l’intention de,to plan to
avoir l’intention de,to intend to
avoir la capacité,to have the ability
avoir la compétence,to have the competence
avoir la responsabilité de,to be responsible for
avoir le choix,to have a/the choice
avoir le droit de (+ verbe),to be allowed
avoir le droit de (+ verbe),to be entitled to
avoir le potentiel,to have the potential
avoir le temps,to have time
avoir lieu,to take place
avoir peur,to be afraid
avoir pour but de,to aim to
avoir pour conséquence,to result in
avoir pour effet de,to have the effect of
beau – faire beau,to be nice (out)
besoin – avoir besoin de,to need
besoin – avoir besoin que,to need
bien – aimer bien,to like
bilan - faire le bilan,to evaluate
but – avoir pour but de,to aim to
ça se peut (que),to be possible (that)
calculer,to calculate
capable – être capable de,to be capable of
capacité – avoir la capacité de,to have the ability to
causé – être causé par,to be caused by
causée – être causée par,to be caused by
causer,to cause
certain – être certain de,to be certain
